Code,Name(s),Purpose,Status
E1000,Cholic acid,emulsifier,
E1001,Choline salts,emulsifier,
E1100,Amylase,"stabiliser, flavour enhancer",
E1101,"Proteases ((i)Protease, (ii)Papain, (iii)Bromelain, (iv)Ficin)","stabiliser, flavour enhancer",
E1102,Glucose oxidase,antioxidant,
E1103,Invertase,stabiliser,Approved in the EU.[21]
E1104,Lipases,,
E1105,Lysozyme,preservative,
E1200,Polydextrose,"stabiliser, thickening agent, humectant, carrier",Approved in the EU.[18]
E1201,Polyvinylpyrrolidone,stabiliser,Approved in the EU.[18]
E1202,Polyvinylpolypyrrolidone (carrier),stabiliser,Approved in the EU.[18]
E1203,Polyvinyl alcohol,,Approved in 2010[22]
E1204,Pullulan,,Approved in the EU.[18]
E1400,"Dextrin (Dextrins, roasted starch white and yellow) (stabiliser)",thickening agent,
E1401,Modified starch ((Acid-treated starch) stabiliser),thickening agent,
E1402,Alkaline modified starch (stabiliser),thickening agent,
E1403,Bleached starch (stabiliser),thickening agent,
E1404,Oxidized starch (emulsifier),thickening agent,Approved in the EU.[18]
E1405,Enzyme treated starch,,
E1410,Monostarch phosphate (stabiliser),thickening agent,Approved in the EU.[18]
E1411,Distarch glycerol (thickening agent),emulsifier,
E1412,Distarch phosphate esterified with sodium trimetasphosphate; esterified with phosphorus oxychloride (stabiliser),thickening agent,Approved in the EU.[18]
E1413,Phosphated distarch phosphate (stabiliser),thickening agent,Approved in the EU.[18]
E1414,Acetylated distarch phosphate (emulsifier),thickening agent,Approved in the EU.[18]
E1420,Starch acetate esterified with acetic anhydride (stabiliser),thickening agent,Approved in the EU.[18]
E1421,Starch acetate esterified with vinyl acetate (stabiliser),thickening agent,
E1422,Acetylated distarch adipate (stabiliser),thickening agent,Approved in the EU.[18]
E1423,Acetylated distarch glycerol,thickening agent,
E1430,Distarch glycerine (stabiliser),thickening agent,
E1440,Hydroxy propyl starch (emulsifier),thickening agent,Approved in the EU.[18]
E1441,Hydroxy propyl distarch glycerine (stabiliser),thickening agent,
E1442,Hydroxy propyl distarch phosphate (stabiliser),thickening agent,Approved in the EU.[18]
E1443,Hydroxy propyl distarch glycerol,,
E1450,Starch sodium octenyl succinate (emulsifier) (stabiliser),thickening agent,Approved in the EU.[18]
E1451,Acetylated oxidised starch (emulsifier),thickening agent,Approved in the EU.[18]
E1452,Starch aluminium octenyl succinate,,Approved in the EU.[18]
E1501,Benzylated hydrocarbons,,
E1502,"Butane-1, 3-diol",,
E1503,Castor oil,resolving agent,
E1504,Ethyl acetate,flavour solvent,
E1505,Triethyl citrate,foam stabiliser,Approved in the EU.[18]
E1510,Ethanol,,
E1516,Glyceryl monoacetate,flavour solvent,
E1517,Glyceryl diacetate or diacetin,flavour solvent,
E1518,Glyceryl triacetate or triacetin,humectant,Approved in the EU.[18]
E1519,Benzyl alcohol,,
E1520,Propylene glycol,humectant,Approved in the EU.[18]
E1521,Polyethylene glycol 8000[25],,Approved in 2010[22]
E1525,Hydroxyethyl cellulose,thickening agent,
