Code,Name(s),Purpose,Status
E200,Sorbic acid,preservative,Approved in the EU.[9]
E201,Sodium sorbate,preservative,
E202,Potassium sorbate,preservative,Approved in the EU.[9]
E203,Calcium sorbate,preservative,Approved in the EU.[9]
E209,Heptyl p-hydroxybenzoate,preservative,
E210,Benzoic acid,preservative,Approved in the EU.[9]
E211,Sodium benzoate,preservative,Approved in the EU.[9]
E212,Potassium benzoate,preservative,Approved in the EU.[9]
E213,Calcium benzoate,preservative,Approved in the EU.[9]
E214,Ethylparaben (ethyl para-hydroxybenzoate),preservative,Approved in the EU.[9]
E215,Sodium ethyl para-hydroxybenzoate,preservative,Approved in the EU.[9]
E216,Propylparaben (propyl para-hydroxybenzoate),preservative,
E217,Sodium propyl para-hydroxybenzoate,preservative,
E218,Methylparaben (methyl para-hydroxybenzoate),preservative,Approved in the EU.[9]
E219,Sodium methyl para-hydroxybenzoate,preservative,Approved in the EU.[9]
E220,Sulphur dioxide,preservative,Approved in the EU.[9]
E221,Sodium sulphite,preservative,Approved in the EU.[9]
E222,Sodium bisulphite (sodium hydrogen sulphite),preservative,Approved in the EU.[9]
E223,Sodium metabisulphite,preservative,Approved in the EU.[9]
E224,Potassium metabisulphite,preservative,Approved in the EU.[9]
E225,Potassium sulphite,preservative,
E226,Calcium sulphite,preservative,Approved in the EU.[9]
E227,Calcium hydrogen sulphite (preservative),firming agent,Approved in the EU.[9]
E228,Potassium hydrogen sulphite,preservative,Approved in the EU.[9]
E230,"Biphenyl, diphenyl",preservative,Approved in the EU.[9]
E231,Orthophenyl phenol,preservative,Approved in the EU.[9]
E232,Sodium orthophenyl phenol,preservative,Approved in the EU.[9]
E233,Thiabendazole,preservative,
E234,Nisin,preservative,Approved in the EU.[9]
E235,"Natamycin, Pimaracin",preservative,Approved in the EU.[9]
E236,Formic acid,preservative,
E237,Sodium formate,preservative,
E238,Calcium formate,preservative,
E239,Hexamine (hexamethylene tetramine),preservative,Approved in the EU.[9]
E240,Formaldehyde,preservative,
E242,Dimethyl dicarbonate,preservative,Approved in the EU.[9]
E249,Potassium nitrite,preservative,Approved in the EU.[9]
E250,Sodium nitrite,preservative,Approved in the EU.[9]
E251,Sodium nitrate (Chile saltpeter),preservative,Approved in the EU.[9]
E252,Potassium nitrate (Saltpetre),preservative,Approved in the EU.[9]
E260,Acetic acid (preservative),acidity regulator,Approved in the EU.[18]
E261,Potassium acetate (preservative),acidity regulator,Approved in the EU.[18]
E262,Sodium acetates (i) Sodium acetate (ii) Sodium diacetate (sodium hydrogen acetate),"preservative, acidity regulator",Approved in the EU.[18]
E263,Calcium acetate (preservative),acidity regulator,Approved in the EU.[18]
E264,Ammonium acetate,preservative,Approved in Australia and New Zealand[19]
E265,Dehydroacetic acid,preservative,
E266,Sodium dehydroacetate,preservative,
E270,Lactic acid (preservative),antioxidant,Approved in the EU.[18]
E280,Propionic acid,preservative,Approved in the EU.[9]
E281,Sodium propionate,preservative,Approved in the EU.[9]
E282,Calcium propionate,preservative,Approved in the EU.[9]
E283,Potassium propionate,preservative,Approved in the EU.[9]
E284,Boric acid,preservative,Approved in the EU.[9]
E285,Sodium tetraborate (borax),preservative,Approved in the EU.[9]
E290,Carbon dioxide,acidity regulator,Approved in the EU.[18]
E296,Malic acid (acid),acidity regulator,Approved in the EU.[18]
E297,Fumaric acid,acidity regulator,Approved in the EU.[18]
