Code,Name(s),Purpose,Status
E620,Glutamic acid,flavour enhancer,Approved in the EU.[18]
E621,Monosodium glutamate (MSG),flavour enhancer,Approved in the EU.[18]
E622,Monopotassium glutamate,flavour enhancer,Approved in the EU.[18]
E623,Calcium diglutamate,flavour enhancer,Approved in the EU.[18]
E624,Monoammonium glutamate,flavour enhancer,Approved in the EU.[18]
E625,Magnesium diglutamate,flavour enhancer,Approved in the EU.[18]
E626,Guanylic acid,flavour enhancer,Approved in the EU.[18]
E627,"Disodium guanylate, sodium guanylate",flavour enhancer,Approved in the EU.[18]
E628,Dipotassium guanylate,flavour enhancer,Approved in the EU.[18]
E629,Calcium guanylate,flavour enhancer,Approved in the EU.[18]
E630,Inosinic acid,flavour enhancer,Approved in the EU.[18]
E631,Disodium inosinate,flavour enhancer,Approved in the EU.[18]
E632,Dipotassium inosinate,flavour enhancer,Approved in the EU.[18]
E633,Calcium inosinate,flavour enhancer,Approved in the EU.[18]
E634,Calcium 5'-ribonucleotides,flavour enhancer,Approved in the EU.[18]
E635,Disodium 5'-ribonucleotides,flavour enhancer,Approved in the EU.[18]
E640,Glycine and its sodium salt,flavour enhancer,Approved in the EU.[18]
E650,Zinc acetate,flavour enhancer,Approved in the EU.[18]
