Code,Name(s),Purpose,Status
E400,Alginic acid (thickener) (stabiliser) (gelling agent),emulsifier,Approved in the EU.[21]
E401,Sodium alginate (thickener) (stabiliser) (gelling agent),emulsifier,Approved in the EU.[21]
E402,Potassium alginate (thickener) (stabiliser) (gelling agent),emulsifier,Approved in the EU.[21]
E403,Ammonium alginate (thickener) (stabiliser),emulsifier,Approved in the EU.[21]
E404,Calcium alginate (thickener) (stabiliser) (gelling agent),emulsifier,Approved in the EU.[21]
E405,"Propane-1,2-diol alginate (Propylene glycol alginate) (thickener) (stabiliser)",emulsifier,Approved in the EU.[21]
E406,Agar (thickener) (gelling agent),stabiliser,Approved in the EU.[21]
E407,Carrageenan (thickener) (stabiliser) (gelling agent),emulsifier,Approved in the EU.[21]
E407a,Processed eucheuma seaweed (thickener) (stabiliser) (gelling agent),emulsifier,Approved in the EU.[21]
E408,Bakers yeast glycan,,
E409,Arabinogalactan,,
E410,Locust bean gum (Carob gum) (thickener) (stabiliser) (gelling agent),emulsifier,Approved in the EU.[21]
E411,Oat gum (thickener),stabiliser,
E412,Guar gum (thickener),stabiliser,Approved in the EU.[21]
E413,Tragacanth (thickener) (stabiliser),emulsifier,Approved in the EU.[21]
E414,Acacia gum (gum arabic) (thickener) (stabiliser),emulsifier,Approved in the EU.[21]
E415,Xanthan gum (thickener),stabiliser,Approved in the EU.[21]
E416,Karaya gum (thickener) (stabiliser),emulsifier,Approved in the EU.[21]
E417,Tara gum (thickener),stabiliser,Approved in the EU.[21]
E418,Gellan gum (thickener) (stabiliser),emulsifier,Approved in the EU.[21]
E419,Gum ghatti (thickener) (stabiliser),emulsifier,
E420,Sorbitol (i) Sorbitol (ii) Sorbitol syrup (emulsifier) (sweetener),humectant,Approved in the EU.[23]
E421,Mannitol (anti-caking agent),sweetener,Approved in the EU.[23]
E422,Glycerol (emulsifier),sweetener,Approved in the EU.[18]
E424,Curdlan,gelling agent,
E425,Konjac (i) Konjac gum (ii) Konjac glucomannane,emulsifier,Approved in the EU.[21] May not be used in confectionery owing to choking risk.[citation needed]
E426,Soybean hemicellulose,,Approved in the EU.[21]
E427,Cassia gum,,Approved in 2010[22]
E429,Peptones,,
E430,Polyoxyethene (8) stearate (emulsifier),stabiliser,
E431,Polyoxyethene (40) stearate,emulsifier,Approved in the EU.[18]
E432,Polyoxyethene (20) sorbitan monolaurate (polysorbate 20),emulsifier,Approved in the EU.[21]
E433,Polyoxyethene (20) sorbitan monooleate (polysorbate 80),emulsifier,Approved in the EU.[21]
E434,Polyoxyethene (20) sorbitan monopalmitate (polysorbate 40),emulsifier,Approved in the EU.[21]
E435,Polyoxyethene (20) sorbitan monostearate (polysorbate 60),emulsifier,Approved in the EU.[21]
E436,Polyoxyethene (20) sorbitan tristearate (polysorbate 65),emulsifier,Approved in the EU.[21]
E440,Pectins (i) pectin (ii) amidated pectin,emulsifier,Approved in the EU.[21]
E441,Gelatine (emulsifier),gelling agent,
E442,Ammonium phosphatides,emulsifier,Approved in the EU.[21]
E443,Brominated vegetable oil,emulsifier,
E444,Sucrose acetate isobutyrate,emulsifier,
E445,Glycerol esters of wood rosins,emulsifier,Approved in the EU.[21]
E446,Succistearin,,
E450,Diphosphates (i) Disodium diphosphate (ii) Trisodium diphosphate (iii) Tetrasodium diphosphate (iv) Dipotassium diphosphate (v) Tetrapotassium diphosphate (vi) Dicalcium diphosphate (vii) Calcium dihydrogen diphosphate,emulsifier,Approved in the EU.[18]
